Address,Type,Datetime,Latitude,Longitude,Incident Number
,Rescue Confined Space,05/21/2019 06:46:00 AM,,,F190051443
9620 28TH AV SW,Mutual Aid- Aid,05/18/2019 02:53:00 PM,,,F190050543
SB SR99 AT HENDERSON,Fire Response Freeway,05/16/2019 06:23:00 PM,,,F190049878
2046 Bayview Ave E,Aid Response,05/15/2019 05:13:00 PM,,,F190049494
1732 16th Av,Trans to AMR,05/11/2019 12:34:00 PM,,,F190047857
1222 E Madison St,Aid Response,05/04/2019 11:01:00 AM,,,F190044930
5033 37th Av S,Trans to AMR,05/04/2019 12:52:00 AM,,,F190044835
5033 37th Av S,Trans to AMR,05/04/2019 12:41:00 AM,,,F190044830
4th/dillling Way,Trans to AMR,05/03/2019 07:05:00 PM,,,F190044692
,Train Derailment wFireHzmt,04/30/2019 10:03:00 PM,,,F190043576
,Medic Response- 7 per Rule,04/29/2019 07:48:00 AM,,,F190042806
,Rescue Confined Space,04/28/2019 11:56:00 AM,,,F190042515
8720 Phinney Av N,Rescue Elevator,04/25/2019 10:11:00 AM,,,F190041322
8511 15th Av Ne,Medic Response,04/25/2019 10:07:00 AM,,,F190041320
1000 8th Av,Auto Fire Alarm,04/25/2019 10:06:00 AM,,,F190041319
1016 Republican St,Auto Fire Alarm,04/25/2019 10:01:00 AM,,,F190041317
1630 43rd Av E,Medic Response,04/25/2019 09:52:00 AM,,,F190041316
908 Jefferson St,Aid Response,04/25/2019 09:51:00 AM,,,F190041314
221 10th Av S,Automatic Medical Alarm,04/25/2019 09:49:00 AM,,,F190041312
,Aid Response,02/26/2016 12:38:19 PM,47.608066,-122.31868600000001,F160022120
,WAFA4 - Auto Alarm 2+1+1,07/14/2015 06:18:56 PM,47.539393,-122.280781,F150078578
,Trans to AMR,09/20/2014 11:25:10 PM,47.664909,-122.314374,F140102753
,Activated CO Detector,06/09/2013 10:24:47 PM,47.614065999999994,-122.322111,F130056304
,Automatic Fire Alarm False,03/04/2013 07:17:16 PM,47.616403000000005,-122.32081699999999,F130021772
,Aid Response,09/15/2012 01:50:10 PM,47.656882,-122.317176,F120087990
,Trans to AMR,06/20/2011 01:49:40 PM,47.602342,-122.30373600000001,F110054890
,Rescue Automobile,07/22/2006 05:40:19 PM,47.621434,-122.283004,F060071000
,Boat Taking Water Minr/Sho,02/24/2006 09:22:46 PM,47.645162,-122.334694,F060018199
,"Assault w/Weapons, Aid",04/27/2005 06:33:38 PM,47.521373,-122.26614199999999,F050039434
4818 M L King Jr Way S,Aid Response,05/23/2019 02:02:00 PM,47.559093,-122.292171,F190052361
410 2nd Av Et S,Aid Response,05/23/2019 01:53:00 PM,47.601202,-122.331511,F190052360
708 6th Av N,Aid Response,05/23/2019 01:49:00 PM,47.625474,-122.344953,F190052359
3400 Rainier Av S,Aid Response,05/23/2019 01:48:00 PM,47.572919,-122.29400600000001,F190052358
3811 NE 95TH ST,Medic Response,05/23/2019 01:42:00 PM,47.697433000000004,-122.28724799999999,F190052357
2542 57th Av Sw,Aid Response,05/23/2019 01:42:00 PM,47.580391999999996,-122.40521899999999,F190052356
15th Av Ne / Ne 145th St,Aid Response,05/23/2019 01:41:00 PM,47.733952,-122.312749,F190052355
401 Ne Northgate Way,Aid Response,05/23/2019 01:40:00 PM,47.708602,-122.32458799999999,F190052354
2542 57th Av Sw,Medic Response,05/23/2019 01:38:00 PM,47.580391999999996,-122.40521899999999,F190052353
1411 Ne 120th St,Medic Response,05/23/2019 01:33:00 PM,47.715798,-122.313769,F190052351
9455 27th Av Sw,Trans to AMR,05/23/2019 01:27:00 PM,47.518178000000006,-122.367277,F190052350
Westlake Av / Denny Way,MVI - Motor Vehicle Incident,05/23/2019 01:22:00 PM,47.618534000000004,-122.338485,F190052348
999 Hiawatha Pl S,Aid Response Yellow,05/23/2019 01:22:00 PM,47.593568,-122.30845900000001,F190052349
4540 42nd Av Sw,Aid Response,05/23/2019 01:18:00 PM,47.562517,-122.38545500000001,F190052345
3204 Sw Morgan St,Aid Response,05/23/2019 01:13:00 PM,47.544669,-122.373777,F190052344
3rd Av / Virginia St,Aid Response,05/23/2019 01:11:00 PM,47.612398,-122.340892,F190052343
211 Dexter Av N,Auto Fire Alarm,05/23/2019 01:01:00 PM,47.619839,-122.34239099999999,F190052342
12335 Lake City Way Ne,Aid Response,05/23/2019 12:56:00 PM,47.71839,-122.295759,F190052341
8621 Delridge Way Sw,Aid Response Yellow,05/23/2019 12:53:00 PM,47.526298,-122.36047099999999,F190052338
4831 35th Av Sw,Aid Response,05/23/2019 12:48:00 PM,47.558988,-122.37623400000001,F190052336
9800 4th Av Ne,Medic Response,05/23/2019 12:44:00 PM,47.699872,-122.324247,F190052335
4060 East Stevens Way Ne,Trans to AMR,05/23/2019 12:41:00 PM,47.656732,-122.304799,F190052334
2214 2nd Av,Aid Response,05/23/2019 12:37:00 PM,47.613372999999996,-122.344525,F190052337
420 4th Av,Aid Response,05/23/2019 12:37:00 PM,47.601986,-122.32914,F190052333
Ne 45th St / Memorial Way Ne,Rubbish Fire,05/23/2019 12:34:00 PM,47.661259,-122.30951200000001,F190052331
2307 1st Av,Aid Response,05/23/2019 12:33:00 PM,47.613422,-122.346593,F190052330
1006 Spring St,TEST - MIS TEST,05/23/2019 12:30:00 PM,47.609615000000005,-122.326834,F190052329
13000 Lake City Way Ne,Aid Response,05/23/2019 12:30:00 PM,47.722899,-122.293194,F190052328
105 5th Av S,Aid Response Yellow,05/23/2019 12:27:00 PM,47.601643,-122.327656,F190052327
Rainier Av S / M L King Jr Way S,Aid Response,05/23/2019 12:26:00 PM,47.576359000000004,-122.29663000000001,F190052326
1006 Spring St,Aid Response Yellow,05/23/2019 12:24:00 PM,47.609615000000005,-122.326834,F190052325
2001 15th Av W,Aid Response,05/23/2019 12:23:00 PM,47.636719,-122.37614099999999,F190052324
Olive Way / 4th Av,Aid Response,05/23/2019 12:18:00 PM,47.612182000000004,-122.33854299999999,F190052323
750 Republican St,Aid Response,05/23/2019 12:13:00 PM,47.623224,-122.34236100000001,F190052322
401 Broadway,Aid Response,05/23/2019 12:00:00 PM,47.605225,-122.32075,F190052319
3212 Claremont Av S,Hang-Up- Aid,05/23/2019 12:00:00 PM,47.574211,-122.296529,F190052320
1000 4th Av S,Aid Response,05/23/2019 11:58:00 AM,47.594333,-122.329049,F190052316
3039 Nw 71st St,Aid Response,05/23/2019 11:58:00 AM,47.68023,-122.396216,F190052317
1000 4th Av S,Aid Response,05/23/2019 11:57:00 AM,47.594333,-122.329049,F190052318
420 4th Av,Aid Response,05/23/2019 11:56:00 AM,47.601986,-122.32914,F190052315
10330 Meridian Av N,Medic Response,05/23/2019 11:54:00 AM,47.703486,-122.33390700000001,F190052313
2622 California Av Sw,Medic Response,05/23/2019 11:47:00 AM,47.580771999999996,-122.386563,F190052311
