tid,attribute,correct_val
616,Type,Rescue Confined Space
616,Datetime,05/21/2019 06:46:00 AM
616,Incident Number,F190051443
1246,Address,9620 28TH AV SW
1246,Type,Mutual Aid- Aid
1246,Datetime,05/18/2019 02:53:00 PM
1246,Incident Number,F190050543
1732,Address,SB SR99 AT HENDERSON
1732,Type,Fire Response Freeway
1732,Datetime,05/16/2019 06:23:00 PM
1732,Incident Number,F190049878
2004,Address,2046 Bayview Ave E
2004,Type,Aid Response
2004,Datetime,05/15/2019 05:13:00 PM
2004,Incident Number,F190049494
3184,Address,1732 16th Av
3184,Type,Trans to AMR
3184,Datetime,05/11/2019 12:34:00 PM
3184,Incident Number,F190047857
5254,Address,1222 E Madison St
5254,Type,Aid Response
5254,Datetime,05/04/2019 11:01:00 AM
5254,Incident Number,F190044930
5326,Address,5033 37th Av S
5326,Type,Trans to AMR
5326,Datetime,05/04/2019 12:52:00 AM
5326,Incident Number,F190044835
5328,Address,5033 37th Av S
5328,Type,Trans to AMR
5328,Datetime,05/04/2019 12:41:00 AM
5328,Incident Number,F190044830
5429,Address,4th/dillling Way
5429,Type,Trans to AMR
5429,Datetime,05/03/2019 07:05:00 PM
5429,Incident Number,F190044692
6254,Type,Train Derailment wFireHzmt
6254,Datetime,04/30/2019 10:03:00 PM
6254,Incident Number,F190043576
6793,Type,Medic Response- 7 per Rule
6793,Datetime,04/29/2019 07:48:00 AM
6793,Incident Number,F190042806
7001,Type,Rescue Confined Space
7001,Datetime,04/28/2019 11:56:00 AM
7001,Incident Number,F190042515
7865,Address,8720 Phinney Av N
7865,Type,Rescue Elevator
7865,Datetime,04/25/2019 10:11:00 AM
7865,Incident Number,F190041322
7866,Address,8511 15th Av Ne
7866,Type,Medic Response
7866,Datetime,04/25/2019 10:07:00 AM
7866,Incident Number,F190041320
7867,Address,1000 8th Av
7867,Type,Auto Fire Alarm
7867,Datetime,04/25/2019 10:06:00 AM
7867,Incident Number,F190041319
7868,Address,1016 Republican St
7868,Type,Auto Fire Alarm
7868,Datetime,04/25/2019 10:01:00 AM
7868,Incident Number,F190041317
7869,Address,1630 43rd Av E
7869,Type,Medic Response
7869,Datetime,04/25/2019 09:52:00 AM
7869,Incident Number,F190041316
7870,Address,908 Jefferson St
7870,Type,Aid Response
7870,Datetime,04/25/2019 09:51:00 AM
7870,Incident Number,F190041314
7871,Address,221 10th Av S
7871,Type,Automatic Medical Alarm
7871,Datetime,04/25/2019 09:49:00 AM
7871,Incident Number,F190041312
330853,Type,Aid Response
330853,Datetime,02/26/2016 12:38:19 PM
330853,Latitude,47.608066
330853,Longitude,-122.31868600000001
330853,Incident Number,F160022120
392299,Type,WAFA4 - Auto Alarm 2+1+1
392299,Datetime,07/14/2015 06:18:56 PM
392299,Latitude,47.539393
392299,Longitude,-122.280781
392299,Incident Number,F150078578
470310,Type,Trans to AMR
470310,Datetime,09/20/2014 11:25:10 PM
470310,Latitude,47.664909
470310,Longitude,-122.314374
470310,Incident Number,F140102753
589464,Type,Activated CO Detector
589464,Datetime,06/09/2013 10:24:47 PM
589464,Latitude,47.614065999999994
589464,Longitude,-122.322111
589464,Incident Number,F130056304
612551,Type,Automatic Fire Alarm False
612551,Datetime,03/04/2013 07:17:16 PM
612551,Latitude,47.616403000000005
612551,Longitude,-122.32081699999999
612551,Incident Number,F130021772
651954,Type,Aid Response
651954,Datetime,09/15/2012 01:50:10 PM
651954,Latitude,47.656882
651954,Longitude,-122.317176
651954,Incident Number,F120087990
754894,Type,Trans to AMR
